height,weight,label
165,76,비만
140,64,비만
144,52,비만
121,59,비만
189,44,저체중
145,53,비만
132,37,정상체중
191,50,저체중
165,74,비만
169,46,저체중
127,61,비만
133,75,비만
145,39,정상체중
182,73,정상체중
194,66,저체중
192,38,저체중
190,39,저체중
179,46,저체중
175,65,정상체중
143,42,정상체중
159,57,정상체중
132,67,비만
145,59,비만
192,70,정상체중
130,79,비만
187,76,정상체중
183,35,저체중
199,50,저체중
152,58,비만
195,54,저체중
151,64,비만
134,64,비만
126,72,비만
189,79,정상체중
176,48,저체중
140,41,정상체중
198,73,정상체중
149,43,정상체중
138,58,비만
193,67,저체중
120,57,비만
130,43,비만
183,47,저체중
191,52,저체중
185,54,저체중
130,41,정상체중
132,35,정상체중
195,61,저체중
128,36,정상체중
147,49,정상체중
125,64,비만
162,48,저체중
170,59,정상체중
199,78,정상체중
168,77,비만
176,48,저체중
165,41,저체중
149,59,비만
186,56,저체중
152,77,비만
133,44,정상체중
120,49,비만
137,58,비만
176,42,저체중
163,66,정상체중
124,36,정상체중
136,45,정상체중
183,70,정상체중
120,64,비만
181,48,저체중
141,38,정상체중
183,39,저체중
184,37,저체중
168,53,정상체중
123,75,비만
199,66,저체중
191,63,저체중
134,70,비만
193,70,정상체중
190,54,저체중
183,80,정상체중
139,61,비만
132,72,비만
140,51,비만
147,69,비만
176,54,저체중
157,63,비만
142,38,정상체중
124,69,비만
180,45,저체중
186,64,저체중
188,54,저체중
143,56,비만
159,67,비만
132,63,비만
183,74,정상체중
185,62,저체중
132,52,비만
128,42,비만
176,67,정상체중
127,50,비만
124,63,비만
129,77,비만
150,72,비만
150,42,정상체중
190,42,저체중
156,66,비만
149,79,비만
158,62,정상체중
165,39,저체중
170,70,정상체중
168,68,정상체중
197,72,정상체중
136,35,정상체중
127,79,비만
138,35,저체중
156,45,저체중
141,48,정상체중
146,80,비만
171,51,저체중
174,68,정상체중
200,73,저체중
129,56,비만
176,51,저체중
124,74,비만
126,78,비만
147,59,비만
162,57,정상체중
137,53,비만
149,71,비만
196,67,저체중
171,74,비만
163,63,정상체중
143,44,정상체중
129,53,비만
194,57,저체중
200,59,저체중
156,46,정상체중
124,55,비만
135,71,비만
195,61,저체중
195,75,정상체중
135,79,비만
169,37,저체중
159,66,비만
173,65,정상체중
165,67,정상체중
145,43,정상체중
182,72,정상체중
164,44,저체중
127,43,비만
193,52,저체중
163,51,정상체중
